CVE_VEND,FECHAELAB
1.0,2021-06-17 13:14:02.947
1.0,2021-06-17 13:32:26.667
1.0,2021-06-17 13:45:46.193
1.0,2021-06-18 15:19:13.797
1.0,2021-06-22 16:41:41.913
1.0,2021-06-22 16:49:27.753
1.0,2021-06-23 11:12:57.003
1.0,2021-06-23 14:04:39.340
1.0,2021-06-23 15:22:48.470
1.0,2021-06-23 15:24:51.470
1.0,2021-06-23 15:43:02.677
1.0,2021-06-23 15:45:17.593
1.0,2021-06-25 13:47:23.393
1.0,2021-06-29 13:39:09.720
1.0,2021-06-30 12:32:16.623
1.0,2021-07-01 15:48:39.217
1.0,2021-07-01 15:58:25.673
1.0,2021-07-01 16:10:02.303
1.0,2021-07-05 16:10:38.597
1.0,2021-07-05 16:50:13.990
1.0,2021-07-06 12:34:57.663
1.0,2021-07-08 17:05:43.647
1.0,2021-07-09 11:04:01.580
1.0,2021-07-09 12:00:50.960
1.0,2021-07-09 12:29:19.093
1.0,2021-07-09 12:39:52.263
1.0,2021-07-09 12:47:05.837
1.0,2021-07-09 12:49:34.627
1.0,2021-07-09 12:55:46.513
1.0,2021-07-15 11:15:53.300
1.0,2021-07-20 13:18:18.143
1.0,2021-07-20 13:30:54.247
1.0,2021-07-20 13:44:04.687
1.0,2021-07-20 13:50:42.390
1.0,2021-07-22 13:13:36.867
1.0,2021-07-22 13:17:12.400
1.0,2021-07-22 15:15:46.150
1.0,2021-07-23 16:07:28.760
1.0,2021-07-23 16:12:15.783
1.0,2021-07-23 16:28:32.227
1.0,2021-07-27 07:43:08.660
1.0,2021-07-27 09:15:55.877
1.0,2021-07-28 15:18:14.697
1.0,2021-07-29 08:10:40.180
1.0,2021-07-30 12:15:10.250
1.0,2021-07-30 17:09:13.120
1.0,2021-08-05 09:10:43.460
1.0,2021-08-06 08:02:41.777
1.0,2021-08-09 08:28:08.853
1.0,2021-08-10 09:43:18.737
1.0,2021-08-11 10:52:10.087
1.0,2021-08-11 14:06:54.747
1.0,2021-08-12 10:06:54.093
1.0,2021-08-17 12:19:25.357
1.0,2021-08-18 12:38:43.287
1.0,2021-08-20 09:05:40.500
1.0,2021-08-26 15:00:13.603
1.0,2021-08-30 13:02:41.660
1.0,2021-08-31 09:39:42.553
1.0,2021-08-31 14:55:58.217
1.0,2021-08-31 18:13:04.387
1.0,2021-09-03 18:16:42.103
1.0,2021-09-07 17:42:58.513
1.0,2021-09-08 10:09:26.050
1.0,2021-09-08 14:46:31.740
1.0,2021-09-08 14:55:07.673
1.0,2021-09-09 16:02:56.803
1.0,2021-09-09 16:21:48.697
1.0,2021-09-09 16:24:07.403
1.0,2021-09-09 16:26:46.817
1.0,2021-09-17 09:42:25.063
1.0,2021-09-17 09:51:50.767
1.0,2021-09-17 09:53:52.200
1.0,2021-09-21 11:37:29.763
1.0,2021-09-22 11:06:39.983
1.0,2021-09-23 15:39:25.507
1.0,2021-09-23 15:41:29.207
1.0,2021-09-24 10:37:18.663
1.0,2021-09-27 08:56:13.760
1.0,2021-09-28 10:19:35.663
1.0,2021-09-29 10:49:26.757
1.0,2021-09-29 14:49:36.190
1.0,2021-09-29 16:59:21.743
1.0,2021-09-30 18:38:15.180
1.0,2021-10-04 10:24:36.350
1.0,2021-10-04 15:38:54.260
1.0,2021-10-07 15:35:44.253
1.0,2021-10-08 09:26:20.957
1.0,2021-10-12 10:16:48.773
1.0,2021-10-15 08:19:30.557
1.0,2021-10-15 09:01:08.393
1.0,2021-10-15 09:07:07.103
1.0,2021-10-15 15:00:58.727
1.0,2021-10-15 15:30:36.927
1.0,2021-10-15 15:43:15.297
1.0,2021-10-15 16:44:42.677
1.0,2021-10-20 08:26:23.640
1.0,2021-10-20 08:32:32.347
1.0,2021-10-20 16:44:43.113
1.0,2021-10-21 13:01:19.650
1.0,2021-10-25 15:07:42.990
1.0,2021-10-26 12:30:42.880
1.0,2021-10-27 14:58:56.587
1.0,2021-10-29 16:55:00.790
1.0,2021-11-03 10:10:35.653
1.0,2021-11-03 10:16:23.907
1.0,2021-11-03 10:31:23.073
1.0,2021-11-04 08:49:28.890
1.0,2021-11-04 09:59:26.397
1.0,2021-11-04 10:58:22.883
1.0,2021-11-04 11:01:06.227
1.0,2021-11-04 11:05:31.600
1.0,2021-11-04 11:08:37.287
1.0,2021-11-04 13:25:32.817
1.0,2021-11-05 09:47:12.980
1.0,2021-11-08 14:22:35.517
1.0,2021-11-09 07:52:36.580
1.0,2021-11-09 08:04:39.623
1.0,2021-11-09 08:12:56.593
1.0,2021-11-09 08:19:16.543
1.0,2021-11-09 10:41:20.543
1.0,2021-11-09 15:24:54.977
1.0,2021-11-10 09:43:19.683
1.0,2021-11-12 09:13:29.527
1.0,2021-11-12 09:15:48.557
1.0,2021-11-12 09:18:27.357
1.0,2021-11-12 10:20:11.257
1.0,2021-11-12 14:05:02.660
1.0,2021-11-18 10:49:17.647
1.0,2021-11-18 10:51:56.067
1.0,2021-11-18 10:54:05.280
1.0,2021-11-18 10:59:30.920
1.0,2021-11-18 11:02:31.500
1.0,2021-11-18 11:05:26.080
1.0,2021-11-18 11:50:55.897
1.0,2021-11-18 12:08:44.457
1.0,2021-11-19 13:30:32.320
1.0,2021-11-22 10:20:54.167
1.0,2021-11-22 11:20:04.477
1.0,2021-11-22 18:04:48.617
1.0,2021-11-25 16:24:01.827
1.0,2021-11-25 17:52:38.687
1.0,2021-11-26 07:46:06.713
1.0,2021-11-26 07:51:34.370
1.0,2021-11-26 17:40:41.580
1.0,2021-12-02 17:19:18.963
1.0,2021-12-02 17:23:46.640
1.0,2021-12-02 17:26:55.753
1.0,2021-12-02 17:28:58.203
1.0,2021-12-02 17:36:48.180
1.0,2021-12-03 12:09:29.327
1.0,2021-12-06 14:21:34.313
1.0,2021-12-07 10:25:55.180
1.0,2021-12-09 11:14:00.073
1.0,2021-12-09 14:26:10.667
1.0,2021-12-10 09:48:19.440
1.0,2021-12-10 09:52:18.367
1.0,2021-12-10 15:33:12.020
1.0,2021-12-17 11:03:35.467
1.0,2021-12-21 12:23:19.990
1.0,2021-12-21 15:39:53.397
1.0,2021-12-22 13:00:57.697
1.0,2021-12-22 13:08:13.153
1.0,2021-12-22 13:12:11.200
1.0,2021-12-22 13:25:29.610
1.0,2021-12-22 16:52:15.287
1.0,2021-12-23 14:29:50.730
1.0,2021-12-23 16:43:24.507
1.0,2021-12-23 16:54:56.457
1.0,2021-12-23 17:38:46.860
1.0,2021-12-23 17:41:14.963
1.0,2021-12-23 17:43:38.717
1.0,2021-12-30 11:01:23.887
1.0,2022-01-05 17:57:44.403
1.0,2022-01-07 15:56:42.897
1.0,2022-01-10 11:31:39.300
1.0,2022-01-10 16:02:00.500
1.0,2022-01-12 10:18:08.993
1.0,2022-01-14 11:42:12.060
1.0,2022-01-19 15:12:26.383
1.0,2022-01-21 13:15:00.773
1.0,2022-01-21 17:17:40.043
1.0,2022-01-24 12:48:48.050
1.0,2022-01-24 14:39:01.980
1.0,2022-01-24 14:54:38.550
1.0,2022-01-24 17:25:05.660
1.0,2022-01-25 17:26:32.393
1.0,2022-01-31 11:22:00.883
1.0,2022-01-31 11:40:48.357
1.0,2022-01-31 11:47:23.887
1.0,2022-01-31 12:07:52.857
1.0,2022-01-31 12:10:53.460
1.0,2022-01-31 15:22:23.643
1.0,2022-01-31 15:51:19.037
1.0,2022-01-31 16:04:58.640
1.0,2022-02-01 14:32:31.330
1.0,2022-02-01 14:48:48.250
1.0,2022-02-01 14:51:31.550
1.0,2022-02-03 14:32:41.043
1.0,2022-02-08 10:00:53.577
1.0,2022-02-08 10:06:01.833
1.0,2022-02-08 11:03:11.930
1.0,2022-02-08 12:16:46.800
1.0,2022-02-09 08:25:06.353
1.0,2022-02-09 16:17:32.717
1.0,2022-02-09 17:03:02.463
1.0,2022-02-09 17:06:33.167
1.0,2022-02-09 17:41:21.057
1.0,2022-02-10 14:03:57.433
1.0,2022-02-10 15:29:21.953
1.0,2022-02-10 16:45:38.220
1.0,2022-02-14 10:33:46.410
1.0,2022-02-14 17:53:17.750
1.0,2022-02-18 12:05:08.147
1.0,2022-02-18 14:49:10.780
1.0,2022-02-18 14:51:12.003
1.0,2022-02-18 15:19:00.963
1.0,2022-02-21 13:58:30.280
1.0,2022-02-21 15:03:55.150
1.0,2022-02-22 13:53:55.917
1.0,2022-02-24 15:25:39.693
1.0,2022-02-25 10:59:22.673
1.0,2022-02-25 15:45:54.387
1.0,2022-02-25 15:59:48.847
1.0,2022-02-25 16:04:18.443
1.0,2022-02-25 16:09:28.617
1.0,2022-02-25 16:11:51.893
1.0,2022-02-25 17:03:58.640
1.0,2022-02-25 17:10:46.793
1.0,2022-02-25 17:13:16.767
1.0,2022-02-28 10:56:02.460
1.0,2022-02-28 16:56:15.027
1.0,2022-02-28 17:41:34.787
1.0,2022-03-03 10:33:40.743
1.0,2022-03-04 15:08:49.747
1.0,2022-03-08 09:15:20.507
1.0,2022-03-08 15:14:08.677
1.0,2022-03-09 17:37:25.150
1.0,2022-03-10 08:26:58.687
1.0,2022-03-10 08:39:48.800
1.0,2022-03-10 15:21:45.987
1.0,2022-03-10 15:25:29.893
1.0,2022-03-15 10:45:45.300
1.0,2022-03-15 10:50:34.647
1.0,2022-03-16 18:13:10.567
1.0,2022-03-16 18:16:22.073
1.0,2022-03-23 17:40:06.637
1.0,2022-03-23 17:43:33.857
1.0,2022-03-24 09:12:55.883
1.0,2022-03-25 07:58:51.287
1.0,2022-03-28 11:12:11.400
1.0,2022-03-28 11:42:06.530
1.0,2022-03-29 17:41:19.567
1.0,2022-03-30 10:25:56.473
1.0,2022-03-30 14:40:41.597
1.0,2022-03-31 09:06:17.047
1.0,2022-03-31 09:10:04.600
1.0,2022-03-31 14:46:10.940
1.0,2022-03-31 14:52:53.997
1.0,2022-03-31 17:56:46.350
1.0,2022-04-05 09:29:09.080
1.0,2022-04-05 09:31:32.797
1.0,2022-04-05 15:31:25.207
1.0,2022-04-07 10:57:58.360
1.0,2022-04-07 11:24:07.847
1.0,2022-04-07 17:28:50.310
1.0,2022-04-08 12:32:20.077
1.0,2022-04-13 10:51:02.847
1.0,2022-04-13 17:27:49.910
1.0,2022-04-18 14:17:28.287
1.0,2022-04-21 16:01:24.323
1.0,2022-04-22 12:20:14.757
1.0,2022-04-25 13:12:54.370
1.0,2022-04-25 17:44:13.547
1.0,2022-04-26 10:09:28.363
1.0,2022-04-26 12:55:41.220
1.0,2022-04-27 13:57:42.667
1.0,2022-04-28 14:29:08.367
1.0,2022-04-28 17:33:25.290
1.0,2022-04-29 17:36:07.523
1.0,2022-04-29 17:38:24.757
1.0,2022-05-04 11:59:33.457
1.0,2022-05-04 12:23:19.117
1.0,2022-05-05 07:35:57.283
1.0,2022-05-05 13:43:43.307
1.0,2022-05-05 14:10:02.987
1.0,2022-05-06 10:04:19.917
1.0,2022-05-09 16:03:38.030
1.0,2022-05-09 16:09:17.317
1.0,2022-05-11 15:54:57.450
1.0,2022-05-11 15:59:10.823
1.0,2022-05-12 11:46:27.590
1.0,2022-05-12 11:53:38.877
1.0,2022-05-13 14:45:08.060
1.0,2022-05-13 15:45:19.280
1.0,2022-05-17 17:03:48.737
1.0,2022-05-17 17:06:02.237
1.0,2022-05-17 17:07:27.293
1.0,2022-05-17 17:08:58.680
1.0,2022-05-18 09:06:56.460
1.0,2022-05-20 11:59:07.693
1.0,2022-05-20 14:35:15.463
1.0,2022-05-20 14:39:49.827
1.0,2022-05-23 13:55:27.487
1.0,2022-05-23 14:02:25.787
1.0,2022-05-26 09:30:48.790
1.0,2022-05-26 09:35:11.120
1.0,2022-05-26 09:37:00.400
1.0,2022-05-26 09:38:47.583
1.0,2022-05-31 16:28:12.013
1.0,2022-05-31 16:31:44.357
1.0,2022-05-31 16:34:27.333
1.0,2022-06-01 16:51:49.417
1.0,2022-06-01 17:36:50.830
1.0,2022-06-02 07:57:28.527
1.0,2022-06-02 14:26:22.433
1.0,2022-06-03 17:20:45.937
1.0,2022-06-09 10:45:52.047
1.0,2022-06-10 10:01:33.287
1.0,2022-06-10 17:40:37.233
1.0,2022-06-10 17:44:34.023
1.0,2022-06-10 17:48:05.833
1.0,2022-06-13 14:10:04.157
1.0,2022-06-14 13:05:03.280
1.0,2022-06-16 09:55:04.480
1.0,2022-06-17 10:14:00.437
1.0,2022-06-20 14:30:57.117
1.0,2022-06-21 07:37:50.897
1.0,2022-06-24 12:55:59.567
1.0,2022-06-28 14:30:10.447
1.0,2022-06-29 13:36:23.500
1.0,2022-07-04 08:34:21.897
1.0,2022-07-04 08:45:16.413
1.0,2022-07-04 08:49:04.467
1.0,2022-07-04 09:05:18.557
1.0,2022-07-04 10:22:10.987
1.0,2022-07-04 13:35:36.653
1.0,2022-07-05 12:05:46.920
1.0,2022-07-07 09:50:53.953
1.0,2022-07-07 12:30:10.980
1.0,2022-07-07 13:29:31.677
1.0,2022-07-07 14:21:47.513
1.0,2022-07-07 14:25:38.507
1.0,2022-07-07 14:27:56.727
1.0,2022-07-07 14:30:23.613
1.0,2022-07-07 14:40:34.487
1.0,2022-07-07 14:42:59.913
1.0,2022-07-07 15:24:32.527
1.0,2022-07-07 16:10:58.060
1.0,2022-07-07 16:54:09.093
1.0,2022-07-08 08:27:49.010
1.0,2022-07-08 10:17:45.830
1.0,2022-07-08 12:26:37.927
1.0,2022-07-08 15:17:50.030
1.0,2022-07-08 16:15:19.967
1.0,2022-07-08 16:31:11.660
1.0,2022-07-08 17:34:15.253
1.0,2022-07-11 17:09:39.473
1.0,2022-07-12 12:45:19.643
1.0,2022-07-12 12:48:41.887
1.0,2022-07-12 16:04:19.507
1.0,2022-07-15 08:50:14.800
1.0,2022-07-15 08:52:48.467
1.0,2022-07-18 09:52:26.053
1.0,2022-07-18 13:51:55.163
1.0,2022-07-18 15:17:17.183
1.0,2022-07-21 13:21:12.310
1.0,2022-07-21 13:46:16.387
1.0,2022-07-21 16:52:58.837
1.0,2022-07-21 17:14:43.317
1.0,2022-07-21 17:22:37.387
1.0,2022-07-21 17:32:45.673
1.0,2022-07-22 10:19:52.977
1.0,2022-07-22 11:48:16.043
1.0,2022-07-22 13:08:23.773
1.0,2022-07-25 10:40:16.853
1.0,2022-07-25 15:05:54.997
1.0,2022-07-25 16:59:35.327
1.0,2022-07-25 17:37:21.903
1.0,2022-07-25 17:41:34.917
1.0,2022-07-26 08:52:29.433
1.0,2022-07-26 11:25:18.393
1.0,2022-07-26 12:35:54.927
1.0,2022-07-26 12:38:22.500
1.0,2022-07-26 14:25:34.453
1.0,2022-07-26 15:00:16.787
1.0,2022-07-26 15:09:22.227
1.0,2022-07-26 16:01:26.373
1.0,2022-07-27 13:30:32.957
1.0,2022-07-29 09:19:47.833
1.0,2022-07-29 09:28:24.753
1.0,2022-07-29 09:30:43.523
1.0,2022-07-29 11:41:07.723
1.0,2022-07-29 15:48:26.290
1.0,2022-07-29 15:52:25.590
1.0,2022-07-29 15:59:18.307
1.0,2022-07-29 16:01:25.497
1.0,2022-07-29 16:05:45.900
1.0,2022-07-29 16:37:38.213
1.0,2022-08-03 09:58:20.137
1.0,2022-08-08 13:27:29.400
1.0,2022-08-08 13:31:38.797
1.0,2022-08-09 15:00:43.467
1.0,2022-08-10 10:49:14.637
1.0,2022-08-10 11:21:32.123
1.0,2022-08-10 11:31:47.873
1.0,2022-08-10 11:58:48.403
1.0,2022-08-10 13:37:35.640
1.0,2022-08-10 13:42:37.790
1.0,2022-08-10 13:49:23.647
1.0,2022-08-10 13:54:20.410
1.0,2022-08-11 10:08:29.953
1.0,2022-08-12 10:08:21.873
1.0,2022-08-12 13:09:45.687
1.0,2022-08-16 14:10:20.650
1.0,2022-08-17 11:55:22.797
1.0,2022-08-17 12:08:09.850
1.0,2022-08-17 12:21:53.437
1.0,2022-08-17 15:30:43.837
1.0,2022-08-22 16:00:22.597
1.0,2022-08-23 10:53:34.597
1.0,2022-08-23 11:01:30.783
1.0,2022-08-23 11:03:13.183
1.0,2022-08-23 11:04:59.863
1.0,2022-08-24 11:37:03.640
1.0,2022-08-25 16:45:24.063
1.0,2022-08-26 08:19:25.920
1.0,2022-08-26 08:32:47.007
1.0,2022-08-30 16:40:56.073
1.0,2022-08-31 10:56:50.123
1.0,2022-08-31 11:01:13.117
1.0,2022-08-31 11:02:47.550
1.0,2022-08-31 11:04:21.050
1.0,2022-08-31 18:54:03.927
1.0,2022-09-02 11:05:03.167
1.0,2022-09-06 17:54:19.680
1.0,2022-09-06 17:57:13.637
1.0,2022-09-06 17:58:26.090
1.0,2022-09-07 08:26:09.597
1.0,2022-09-07 12:06:47.467
1.0,2022-09-09 08:38:50.370
1.0,2022-09-09 14:16:30.517
1.0,2022-09-09 17:38:35.740
1.0,2022-09-12 11:55:01.737
1.0,2022-09-12 17:27:00.903
1.0,2022-09-14 12:27:45.103
1.0,2022-09-20 16:40:53.403
1.0,2022-09-20 18:01:21.880
1.0,2022-09-21 16:02:37.720
1.0,2022-09-22 07:53:33.477
1.0,2022-09-22 07:59:21.513
1.0,2022-09-22 14:04:03.983
1.0,2022-09-22 14:12:28.287
1.0,2022-09-22 15:19:06.987
1.0,2022-09-22 15:53:39.150
1.0,2022-09-23 14:10:01.657
1.0,2022-09-26 12:53:22.240
1.0,2022-09-26 14:14:15.870
1.0,2022-09-26 14:24:47.633
1.0,2022-09-28 16:25:26.000
1.0,2022-09-29 16:41:51.873
1.0,2022-09-30 15:58:33.877
1.0,2022-09-30 17:29:41.753
1.0,2022-09-30 17:31:40.663
1.0,2022-10-03 09:26:55.620
1.0,2022-10-04 10:27:23.877
1.0,2022-10-04 12:22:09.840
1.0,2022-10-04 12:29:42.043
1.0,2022-10-06 13:24:44.067
1.0,2022-10-06 13:47:48.300
1.0,2022-10-07 17:53:08.093
1.0,2022-10-11 13:26:03.553
1.0,2022-10-12 12:13:39.533
1.0,2022-10-14 15:35:18.980
1.0,2022-10-17 15:08:44.297
1.0,2022-10-17 15:12:35.087
1.0,2022-10-18 11:45:06.953
1.0,2022-10-18 13:21:07.283
1.0,2022-10-18 13:23:30.887
1.0,2022-10-19 13:16:53.217
1.0,2022-10-19 13:19:30.127
1.0,2022-10-20 10:35:32.323
1.0,2022-10-20 10:54:33.953
1.0,2022-10-21 09:55:59.020
1.0,2022-10-21 09:58:11.870
1.0,2022-10-24 13:19:56.290
1.0,2022-10-26 11:02:56.793
1.0,2022-10-28 12:56:51.613
1.0,2022-10-28 13:06:12.027
1.0,2022-10-31 16:30:03.807
1.0,2022-10-31 16:39:20.593
1.0,2022-11-01 17:38:28.340
1.0,2022-11-03 08:43:20.863
1.0,2022-11-04 10:39:25.693
1.0,2022-11-04 12:36:56.423
1.0,2022-11-04 14:11:38.093
1.0,2022-11-04 15:40:11.630
1.0,2022-11-04 15:49:31.657
1.0,2022-11-04 16:05:05.573
1.0,2022-11-04 17:06:51.350
1.0,2022-11-04 17:10:59.503
1.0,2022-11-08 14:34:05.157
1.0,2022-11-08 14:36:32.203
1.0,2022-11-08 16:24:15.617
1.0,2022-11-08 16:28:39.017
1.0,2022-11-09 12:50:37.000
1.0,2022-11-09 16:25:50.767
1.0,2022-11-10 14:15:55.997
1.0,2022-11-10 14:18:38.253
1.0,2022-11-11 10:53:20.203
1.0,2022-11-11 17:46:57.330
1.0,2022-11-14 16:09:56.207
1.0,2022-11-15 13:31:29.200
1.0,2022-11-16 11:58:13.600
1.0,2022-11-16 15:56:58.253
1.0,2022-11-18 10:51:41.927
1.0,2022-11-18 10:58:38.667
1.0,2022-11-18 11:37:03.807
1.0,2022-11-22 17:22:17.717
1.0,2022-11-23 11:03:41.383
1.0,2022-11-23 12:18:21.320
1.0,2022-11-23 17:41:18.027
1.0,2022-11-24 17:13:02.127
1.0,2022-11-24 17:46:46.190
1.0,2022-11-25 12:10:50.640
1.0,2022-11-25 12:15:17.097
1.0,2022-11-25 16:36:39.457
1.0,2022-11-29 17:14:38.987
1.0,2022-11-29 17:53:16.867
1.0,2022-11-30 11:03:50.277
1.0,2022-11-30 13:07:49.420
1.0,2022-11-30 15:59:24.733
1.0,2022-11-30 17:14:31.857
1.0,2022-11-30 17:16:21.040
1.0,2022-12-05 14:48:05.817
1.0,2022-12-05 15:18:02.417
1.0,2022-12-05 15:36:21.117
1.0,2022-12-05 16:13:16.663
1.0,2022-12-05 16:17:18.087
1.0,2022-12-05 16:19:23.987
1.0,2022-12-07 14:09:36.257
1.0,2022-12-07 14:13:49.453
1.0,2022-12-07 17:14:18.697
1.0,2022-12-07 17:17:17.920
1.0,2022-12-08 13:16:18.680
1.0,2022-12-08 13:36:34.340
1.0,2022-12-09 17:11:53.297
1.0,2022-12-13 10:24:04.383
1.0,2022-12-13 13:38:25.610
1.0,2022-12-13 16:04:03.193
1.0,2022-12-13 16:11:11.107
1.0,2022-12-15 17:44:53.253
1.0,2022-12-15 18:10:50.817
1.0,2022-12-15 18:12:35.577
1.0,2022-12-15 18:15:52.120
1.0,2022-12-16 08:23:11.963
1.0,2022-12-16 17:33:27.237
1.0,2022-12-19 12:25:44.137
1.0,2022-12-19 16:28:24.723
1.0,2022-12-19 16:54:29.603
1.0,2022-12-22 09:07:10.960
1.0,2022-12-22 09:09:38.777
1.0,2022-12-22 09:16:08.487
1.0,2022-12-22 09:19:10.950
1.0,2022-12-22 10:03:21.377
1.0,2022-12-22 10:09:04.307
1.0,2022-12-22 10:11:17.380
1.0,2022-12-23 08:33:45.843
1.0,2023-01-04 12:50:48.930
1.0,2023-01-05 10:31:45.190
1.0,2023-01-06 11:57:12.690
1.0,2023-01-09 10:57:17.467
1.0,2023-01-09 13:07:48.560
1.0,2023-01-09 13:09:46.610
1.0,2023-01-10 11:16:17.873
1.0,2023-01-12 08:35:59.933
1.0,2023-01-19 12:01:15.360
1.0,2023-01-19 12:14:11.537
1.0,2023-01-20 10:25:09.910
1.0,2023-01-20 10:29:15.303
1.0,2023-01-24 11:48:28.377
1.0,2023-01-24 11:52:19.267
1.0,2023-01-24 13:43:29.767
1.0,2023-01-25 10:51:25.020
1.0,2023-01-26 12:14:51.540
1.0,2023-01-26 14:38:30.843
1.0,2023-01-27 12:50:42.067
1.0,2023-01-30 13:16:40.777
1.0,2023-01-30 13:39:35.417
1.0,2023-01-30 14:35:41.680
1.0,2023-02-02 10:47:15.430
1.0,2023-02-02 16:34:12.463
1.0,2023-02-04 10:21:59.230
1.0,2023-02-07 11:24:08.280
1.0,2023-02-07 11:26:10.033
1.0,2023-02-07 11:28:24.163
1.0,2023-02-07 13:11:22.820
1.0,2023-02-07 13:13:57.360
1.0,2023-02-08 15:59:32.003
1.0,2023-02-08 17:51:42.470
1.0,2023-02-09 13:31:45.170
1.0,2023-02-09 13:45:43.717
1.0,2023-02-10 12:31:20.343
1.0,2023-02-10 12:33:35.247
1.0,2023-02-10 12:35:22.833
1.0,2023-02-10 12:39:23.730
1.0,2023-02-10 13:22:15.983
1.0,2023-02-14 12:47:45.537
1.0,2023-02-15 11:59:04.793
1.0,2023-02-15 12:06:12.760
1.0,2023-02-16 16:52:12.990
1.0,2023-02-16 17:19:00.207
1.0,2023-02-17 10:04:22.137
1.0,2023-02-17 10:07:29.283
1.0,2023-02-17 16:12:59.960
1.0,2023-02-17 16:18:30.877
1.0,2023-02-21 16:59:59.327
1.0,2023-02-22 17:07:37.903
1.0,2023-02-22 17:10:53.780
1.0,2023-02-22 17:13:11.377
1.0,2023-02-22 17:14:52.580
1.0,2023-02-22 17:21:11.220
1.0,2023-02-22 17:41:35.700
1.0,2023-02-22 17:44:25.870
1.0,2023-02-22 17:46:33.623
1.0,2023-02-22 17:48:41.813
1.0,2023-02-22 17:50:28.913
1.0,2023-02-23 09:53:48.587
1.0,2023-02-24 11:17:09.957
1.0,2023-02-24 11:21:57.587
1.0,2023-02-24 11:31:56.213
1.0,2023-02-24 15:21:58.163
1.0,2023-02-27 11:38:21.277
1.0,2023-02-27 11:54:39.580
1.0,2023-02-27 16:50:56.903
1.0,2023-02-27 16:53:08.647
1.0,2023-02-28 14:13:31.633
1.0,2023-02-28 16:42:48.163
1.0,2023-03-01 12:58:23.397
1.0,2023-03-03 16:57:28.560
